
Section: Summary   Original data
Tabulated Data:   pendf.json   endf.json
Points: 799
Energy (eV)	 
Min
1e-05	Max
2e+07	
From
1e-05
To
2e+07
Get data:
Calculation of Cross Section
for a Single Energy:
Energy (eV) = 
1e-05
Cross Section (b) = 
#LIBRARY    ENDF/B-VIII.0
#REACTION   LI-6(N,TOT),SIG
#NUCLEUS    Li-6
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 744.81      6.16131      Lin-Lin
 810.123     5.94112      Lin-Lin
 833.143     5.86351      Lin-Lin
 881.164     5.72366      Lin-Lin
 899.855     5.66922      Lin-Lin
 958.435     5.51723      Lin-Lin
 978.765     5.46448      Lin-Lin
 1064.59     5.268        Lin-Lin
 1141.84     5.11179      Lin-Lin
 1149.9      5.0955       Lin-Lin
 1241.97     4.93213      Lin-Lin
 1277.26     4.86952      Lin-Lin
 1369.94     4.72802      Lin-Lin
 1379.6      4.71455      Lin-Lin
 1490.07     4.56061      Lin-Lin
 1620.74     4.40494      Lin-Lin
 1666.79     4.35008      Lin-Lin
 1762.86     4.2512       Lin-Lin
 1800.35     4.21263      Lin-Lin
 1904.11     4.1175       Lin-Lin
 1958.22     4.06789      Lin-Lin
 2115.02     3.94121      Lin-Lin
 2129.94     3.92916      Lin-Lin
 2268.49     3.83036      Lin-Lin
 2300.49     3.80753      Lin-Lin
 2484.82     3.69214      Lin-Lin
 2555.43     3.64793      Lin-Lin
 2740.85     3.54801      Lin-Lin
 2760.05     3.53857      Lin-Lin
 2858.5      3.49013      Lin-Lin
 2978.07     3.43143      Lin-Lin
 2981.2      3.4299       Lin-Lin
 3239.22     3.32157      Lin-Lin
 3334.76     3.28146      Lin-Lin
 3523.28     3.21307      Lin-Lin
 3601.79     3.18459      Lin-Lin
 3805.39     3.11831      Lin-Lin
 3890.38     3.09064      Lin-Lin
 4227.1      2.99451      Lin-Lin
 4291.23     2.9762       Lin-Lin
 4533.82     2.91635      Lin-Lin
 4700.23     2.87529      Lin-Lin
 4959.08     2.81876      Lin-Lin
 5076.84     2.79304      Lin-Lin
 5508.63     2.71047      Lin-Lin
 5522.04     2.7079       Lin-Lin
 5949.72     2.63713      Lin-Lin
 6176.95     2.59952      Lin-Lin
 6443.68     2.56153      Lin-Lin
 6755.01     2.51717      Lin-Lin
 7080.06     2.4768       Lin-Lin
 7451.03     2.43072      Lin-Lin
 7755.25     2.39832      Lin-Lin
 8302.98     2.33997      Lin-Lin
 8554.33     2.31675      Lin-Lin
 8968.26     2.27852      Lin-Lin
 9304.47     2.25089      Lin-Lin
 9754.7      2.21387      Lin-Lin
 10141.1     2.18617      Lin-Lin
 10576.4     2.15495      Lin-Lin
 10610.1     2.15255      Lin-Lin
 11030.4     2.12659      Lin-Lin
 11540.5     2.09508      Lin-Lin
 12332.3     2.05212      Lin-Lin
 12838.1     2.02468      Lin-Lin
 13510       1.99331      Lin-Lin
 13769.6     1.98118      Lin-Lin
 14902.1     1.93273      Lin-Lin
 14954.5     1.93049      Lin-Lin
 16606       1.86925      Lin-Lin
 17936.5     1.82668      Lin-Lin
 18062.2     1.82266      Lin-Lin
 19509.4     1.78123      Lin-Lin
 19784.6     1.77336      Lin-Lin
 21329.5     1.73797      Lin-Lin
 22445.9     1.7124       Lin-Lin
 22847.6     1.70462      Lin-Lin
 22972.4     1.70223      Lin-Lin
 25095.1     1.66163      Lin-Lin
 25496.3     1.65497      Lin-Lin
 27104.5     1.62825      Lin-Lin
 27346.3     1.62466      Lin-Lin
 29897.3     1.58672      Lin-Lin
 29908.9     1.58658      Lin-Lin
 30000       1.58551      Lin-Lin
 32922.5     1.55228      Lin-Lin
 33211.9     1.54939      Lin-Lin
 35873       1.52279      Lin-Lin
 36416       1.51736      Lin-Lin
 39018.8     1.49501      Lin-Lin
 40282.2     1.48416      Lin-Lin
 42604       1.46912      Lin-Lin
 42659.1     1.46879      Lin-Lin
 45672.2     1.45035      Lin-Lin
 45944.7     1.44894      Lin-Lin
 50352.7     1.42607      Lin-Lin
 50992.7     1.42385      Lin-Lin
 52146.2     1.41985      Lin-Lin
 54692.7     1.41204      Lin-Lin
 59817.8     1.39632      Lin-Lin
 60411.4     1.3945       Lin-Lin
 61692.8     1.39254      Lin-Lin
 66423.8     1.38757      Lin-Lin
 70476.8     1.38332      Lin-Lin
 70970.4     1.38339      Lin-Lin
 71746.1     1.38399      Lin-Lin
 77725.5     1.3886       Lin-Lin
 80564.3     1.39079      Lin-Lin
 85137.7     1.40267      Lin-Lin
 90000       1.4153       Lin-Lin
 90634.9     1.41759      Lin-Lin
 91889.4     1.42337      Lin-Lin
 100000      1.46075      Lin-Lin
 101985      1.4748       Lin-Lin
 108843      1.52336      Lin-Lin
 110000      1.53156      Lin-Lin
 119636      1.62959      Lin-Lin
 120000      1.6333       Lin-Lin
 130000      1.77504      Lin-Lin
 132848      1.83051      Lin-Lin
 140000      1.96986      Lin-Lin
 143492      2.06295      Lin-Lin
 150000      2.23643      Lin-Lin
 155451      2.43529      Lin-Lin
 160000      2.60124      Lin-Lin
 170000      3.10114      Lin-Lin
 171134      3.17864      Lin-Lin
 179799      3.77108      Lin-Lin
 184908      4.2063       Lin-Lin
 187851      4.49872      Lin-Lin
 190000      4.71218      Lin-Lin
 195000      5.28451      Lin-Lin
 200000      5.93477      Lin-Lin
 205000      6.66078      Lin-Lin
 206803      6.94638      Lin-Lin
 210000      7.4526       Lin-Lin
 216517      8.54066      Lin-Lin
 219017      8.95529      Lin-Lin
 220000      9.11538      Lin-Lin
 225000      9.90619      Lin-Lin
 229666      10.5374      Lin-Lin
 230000      10.5826      Lin-Lin
 233000      10.9067      Lin-Lin
 235000      11.0813      Lin-Lin
 236000      11.166       Lin-Lin
 239000      11.3422      Lin-Lin
 242000      11.4333      Lin-Lin
 242372      11.4384      Lin-Lin
 244000      11.4484      Lin-Lin
 245000      11.4413      Lin-Lin
 245000      11.4413      Lin-Lin
 246000      11.4283      Lin-Lin
 248000      11.3716      Lin-Lin
 248603      11.3512      Lin-Lin
 250000      11.2906      Lin-Lin
 255000      10.9544      Lin-Lin
 260000      10.4862      Lin-Lin
 265000      9.93444      Lin-Lin
 270000      9.34282      Lin-Lin
 280000      8.17779      Lin-Lin
 290000      7.12906      Lin-Lin
 300000      6.24533      Lin-Lin
 310000      5.52006      Lin-Lin
 320000      4.92963      Lin-Lin
 330000      4.44831      Lin-Lin
 340000      4.05354      Lin-Lin
 349661      3.73798      Lin-Lin
 360000      3.45452      Lin-Lin
 369038      3.24703      Lin-Lin
 370000      3.22494      Lin-Lin
 380000      3.0298       Lin-Lin
 400000      2.71784      Lin-Lin
 420000      2.48143      Lin-Lin
 440000      2.29743      Lin-Lin
 460000      2.15091      Lin-Lin
 479745      2.03343      Lin-Lin
 500000      1.93371      Lin-Lin
 520000      1.85291      Lin-Lin
 523668      1.83862      Lin-Lin
 525554      1.83218      Lin-Lin
 540000      1.78283      Lin-Lin
 543809      1.77031      Lin-Lin
 563950      1.7116       Lin-Lin
 584091      1.66083      Lin-Lin
 604232      1.6171       Lin-Lin
 608465      1.60819      Lin-Lin
 628747      1.57055      Lin-Lin
 638809      1.55248      Lin-Lin
 658186      1.52242      Lin-Lin
 664656      1.51277      Lin-Lin
 689594      1.4802       Lin-Lin
 704938      1.46092      Lin-Lin
 714883      1.45048      Lin-Lin
 743246      1.42139      Lin-Lin
 755291      1.40904      Lin-Lin
 805643      1.36841      Lin-Lin
 861992      1.33286      Lin-Lin
 912697      1.30765      Lin-Lin
 919136      1.30458      Lin-Lin
 970199      1.28461      Lin-Lin
 976995      1.28207      Lin-Lin
 1.02126E+06 1.26908      Lin-Lin
 1.02842E+06 1.26708      Lin-Lin
 1.05111E+06 1.26174      Lin-Lin
 1.10776E+06 1.24839      Lin-Lin
 1.11552E+06 1.2472       Lin-Lin
